"code_commune_INSEE","nom_commune","latitude","longitude","code_departement","code_region"
"01378","Saint-Maurice-de-Gourdans",45.8200191939,5.16980415584,"01","84"
"01379","Saint-Maurice-de-Rémens",45.9527471237,5.2708276475,"01","84"
"01380","Saint-Nizier-le-Bouchoux",46.4528537121,5.1759906585,"01","84"
"01381","Saint-Nizier-le-Désert",46.052861561,5.14246131764,"01","84"
"01382","Sainte-Olive",46.0142006121,4.93624894982,"01","84"
"01383","Saint-Paul-de-Varax",46.0956691617,5.12762470203,"01","84"
"01384","Saint-Rambert-en-Bugey",45.9504631708,5.44017084612,"01","84"
"01385","Saint-Rémy",46.1846642149,5.16771354778,"01","84"
"01386","Saint-Sorlin-en-Bugey",45.886308438,5.37608915006,"01","84"
"01387","Saint-Sulpice",46.3209806116,5.04148389346,"01","84"
"01388","Saint-Trivier-de-Courtes",46.4612969335,5.06679195727,"01","84"
"01389","Saint-Trivier-sur-Moignans",46.0618477991,4.90158948884,"01","84"
"01390","Saint-Vulbas",45.8222315102,5.27019602929,"01","84"
"01391","Salavre",46.3635396668,5.34742387197,"01","84"
"01392","Samognat",46.2648715781,5.58607689306,"01","84"
"01393","Sandrans",46.0656961548,4.98282673172,"01","84"
"01396","Sault-Brénaz",45.8654038798,5.40416104083,"01","84"
"01397","Sauverny",46.3126908233,6.11043836433,"01","84"
"01398","Savigneux",45.997346828,4.8576200906,"01","84"
"01399","Ségny",46.2935928404,6.07287743792,"01","84"
"01400","Seillonnaz",45.7976976614,5.49810658524,"01","84"
"01401","Sergy",46.2626243003,5.98914553194,"01","84"
"01402","Sermoyer",46.4981991944,4.97856020441,"01","84"
"01403","Serrières-de-Briord",45.8133219416,5.44125880379,"01","84"
"01404","Serrières-sur-Ain",46.1466977757,5.45023362942,"01","84"
"01405","Servas",46.1385540577,5.17887070992,"01","84"
"01406","Servignat",46.4346497878,5.05559973107,"01","84"
"01407","Seyssel",45.9484118176,5.82616979887,"01","84"
"01408","Simandre-sur-Suran",46.2340471594,5.42240815305,"01","84"
"01410","Sonthonnax-la-Montagne",46.2229768712,5.50566888767,"01","84"
"01411","Souclin",45.8781798572,5.43058627512,"01","84"
"01412","Sulignat",46.1735383313,4.95772382526,"01","84"
"01413","Surjoux",46.030402108,5.79957920623,"01","84"
"01414","Sutrieu",45.9311367808,5.64988248129,"01","84"
"01415","Talissieu",45.8637167128,5.72090411074,"01","84"
"01416","Tenay",45.922698278,5.51453923595,"01","84"
"01417","Thézillieu",45.8931883593,5.59700638944,"01","84"
"01418","Thil",45.8169214201,5.0184098869,"01","84"
"01419","Thoiry",46.2435475879,5.96506297987,"01","84"
"01420","Thoissey",46.1700943481,4.79387095814,"01","84"
"01421","Torcieu",45.92125055,5.40400282244,"01","84"
"01422","Tossiat",46.1384790158,5.30400055922,"01","84"
"01423","Toussieux",45.959898291,4.82898610612,"01","84"
"01424","Tramoyes",45.8745670311,4.9639268325,"01","84"
"01425","Tranclière",46.0970027075,5.26099875456,"01","84"
